therapy	TCGA-CESC	TCGA-HNSC	TCGA-LUSC	TCGA-BRCA	TCGA-ACC	TCGA-BLCA	TCGA-CHOL	TCGA-COAD	TCGA-DLBC	TCGA-ESCA	TCGA-GBM	TCGA-KICH	TCGA-KIRC	TCGA-KIRP	TCGA-LGG	TCGA-LIHC	TCGA-LUAD	TCGA-MESO	TCGA-OV	TCGA-PAAD	TCGA-PRAD	TCGA-READ	TCGA-SARC	TCGA-SKCM	TCGA-STAD	TCGA-TGCT	TCGA-THCA	TCGA-THYM	TCGA-UCEC	TCGA-UCS	TCGA-UVM
bleomycin,cyclophosphamide,dacarbazine,dexamethasone,doxorubicin,etoposide,mitoxantrone,vincristine									1																						
adriamycin,cytoxan,rituximab,vincristine									1																						
adriamycin,cytoxan,prednisone,vincristine									1																						
adriamycin,cytoxan,doxil,prednisone,rituximab,vincristine									1																						
adriamycin,cyclophosphamide,prednisolone,vincristine									1																						
high-dose-methotrexate-w,-leucovorin									1																						
capecitabine,cisplatin										12																					
5-fluorouracil,cisplatin,epirubicin										2															6						
etoposide										1															1						
carboplatin,paclitaxel,xeloda										1																					
5-flourouracil,cisplatin,docetaxel,oxaliplatin										1																					
capecitabine,cisplatin,paclitaxel										1															1						
5-fluorouracil,oxaliplatin										1																					
5-fluorouracil,docetaxel,oxaliplatin										1																					
folfiri,folfox										1																					
temodar											45				179									2							
avastin,temodar											16				7																
dexamethasone											4																				
avastin,lomustine,temodar											2																				
lomustine,procarbazine,temodar											2				1																
avastin,cpt-11,temodar											2																				
avastin,cpt11,temodar											2																				
06-bg,06-bg-(nabtt-0803),cai-(nabtt-97212),carmustine-(bcnu),gliadel-wafer,reinoid,cis-retinoic-acid,temodar,vatalanib-(ptk787)											1																				
cpt-11,temodar,thalidomide											1																				
dexamethasone,gliadel											1																				
dexamethasone,gliadel,temador											1																				
dexamethasone,oxaliplatin											1																				
gdc-0449,temodar											1																				
ict-107,temodar											1																				
hydrochoroquine,temodar											1																				
carmustine-(bcnu),temodar											1																				
lomustine,plexxikon-plx3397,procarbazine,temodar											1																				
motexafin-gadolinium,temodar											1																				
temodar,temoxolomide											1																				
temodar,temozolamide											1				1																
temodar,vandetanib											1																				
cilengitide,temodar											1																				
carmustine,paclitaxel,procarbazine,tamoxifen											1																				
carmustine,temodar											1																				
avastin,dexamethasone,temodar											1																				
[not-available],temodar											1																				
abt-888,cabozantinib,temodar											1																				
abt-888-parp-inhibitor,bevacizumab,carboplatin,temodar											1																				
abtc-0603-hydroxychloroquine,temodar											1																				
arsenic-trioxide,avastin,carboplatin,dexamethasone,prednisone,sovatenib,temodar											1																				
avastin,bs1-201,temodar											1																				
avastin,gliadel-wafer-carmustine,temodar											1																				
[not-available],avastin,temodar											1																				
avastin,irinotecan,temodar											1				1																
azd,bevacizumab,irinotecan,lomustine,tarceva,temodar											1																				
bcnu,cpt-11											1																				
bevacizumab,temodar											1				7																
bevacozimab,temodar											1																				
carmustine,ci-980,gliadel-wafer											1																				
temodar-(escalation)											1																				
avastin,sorafenib												1																			
bevacizumab,sorafenib,sunitinib,temsirolimus												1		1																	
bevacizumab,sunitinib,temsirolimus												1																			
bevacizumab,sutent,temsirolimus												1																			
sunitinib												1	2	1																	
thalidomide												1																			
sutent													4	2																	
interleukin-2													3																		
sutent-(sunitinib)													3																		
pazopanib													3	1																	
proleukin-(il-2)													1																		
nexavar													1			3															
oncophage-vaccine													1																		
oncophage-vaccine,pazopanib													1																		
pazopanib,sunitinib													1																		
sorafenib,sunitinib													1			1															
avastin,axitnib,sutent													1																		
sunitinib-(sutent)													1																		
torisel													1																		
torisel,votrient													1																		
zd6474													1																		
nexavaar,sutent													1																		
afinitor,pazopanib													1																		
interferon-alpha													1											1							
bevacizumab,temsirolimus													1																		
avastin,gemcitabine,il-2,rad001													1																		
avastin,gemcitabine,interferon,iressa,xeloda													1																		
avastin,gemcitabine,interferon-alpha,thalidomide,xeloda													1																		
avastin,il-2,oncophage-vaccine,tarceva													1																		
bay-439006													1																		
bevacizumab,pazopanib													1																		
interferon													1											2							
gemcitabine,interferon,oncophage,sorafenib,sunitinib,xeloda													1																		
gemcitabine,interferon-alpha,xeloda													1																		
ifn-alpha-(intron)													1																		
il-2,thalidomide													1																		
il-2-(high-dose)													1																		
inf													1																		
zometa													1																		
17-aag														1																	
adriamycin,cytoxan,rituxan,vincristine														1																	
sutent,temsirolimus														1																	
sunitinib,temsirolimus														1																	
sorafenib,temsirolimus														1																	
sorafenib,sunitinib,temsirolimus														1																	
psma-dna-vaccine,sunitinib,temsirolimus														1																	
naxavar,sunitinib														1																	
intron-a														1																	
everolimus														1																	
carboplatin,pemetrexed														1			9	4													
afinitor,sutent														1																	
afinitor														1																	
temsirolimus														1																	
lomustine,procarbazine,vincristine															8																
bevacizumab,irinotecan,temodar															4																
lomustine,procarbazine,temodar,vincristine															3																
temozolamide															3																
ccnu,temodar															2																
bevacizumab,lomustine,temodar															2																
avastin,carboplatin,cpt-11,temodar,vp-16															2																
hydroxyurea,pcv															2																
avastin,carboplatin-5-auc,ccnu,etoposide,hydroxyurea,imatinib,temodar															1																
gleevec,temodar															1																
fotemustine,temodar															1																
cilengtide,procarbazine,temodar															1																
cilengitide,ps-341-bortrezomib,temodar															1																
cdr0000654697															1																
ccnu,tamoxifen,temodar															1																
ccnu,cpt-11,temodar,vp-16															1																
ccnu,cpt-11,i131-81c6,procarbazine,vincristine															1																
ccnu,celebrex,temodar															1																
ccnu,celebrex,cpt-11,procarbazine,tamoxifen,temodar,vincristine															1																
ccnu,celebrex,cloretazine,karerltecin,magi131-81c6,tamoxifen,temodar,vp-16															1																
carmustine-bcnu															1																
gliadel-wafer															1																
i-131-81c6															1																
carmustine,teniposide															1																
i131-81c6															1																
isotrectinoin-(acccutane),temodar															1																
lomustin,procarbazine,vincristine															1																
avastin,bcnu,temodar															1																
avastin															1																
lomustine-(ccnu),procarbazine,vincristine															1																
nimustine,temozolamide															1																
pcv,tamoxifen															1																
procarbazine,sorafenib-(bay-43-9006),temodar															1																
procarbazine,temodar															1																
procarbazine,tomaxifen															1																
at-101,bcnu-(carmustine),temodar															1																
carmustine-(bcnu),cis-retinoic-acid,onyx-015,su101,temodar															1																
carmustine,temodar,temozolamide															1																
avastin,ccnu,cpt-11,cytoxan,gleevec,hydroyurea,temodar,topotecan,vp-16															1																
carboplatin,ccnu,celebrex,temodar,vp-16															1																
avastin,ccnu,cpt-11,temodar,vp-16															1																
avastin,ccnu,tarceva,temodar,vp-16															1																
avastin,ccnu,temodar															1																
avastin,ccnu,temodar,vp-16															1																
avastin,ceenu,temodar															1																
avastin,cpt-11,gleevec,temodar															1																
avastin,cpt-11,mr1-1,temodar															1																
avastin,mustophoran,themozolomide															1																
avastin,temodar,vinblastine															1																
bcnu															1																
bcnu-(carmustine),gliadel-wafer,hydroxyurea															1																
benzylguanine,ccnu,celebrex,gliadel-wafers,karenitecin,temodar,vp-16															1																
bevacizumab,carboplatin,irinotecan,temodar															1																
bevacizumab,carboplatin,lomustine,procarbazine,temodar,vincristine-(sulfate)															1																
bevacizumab,carmustin,temodar															1																
bevacizumab,carmustine,irinotecan,temodar															1																
bevacizumab,carmustine,temodar,teniposide															1																
bevacizumab,carmustine,temozolamide															1																
bevacizumab,irinotecan															1																
avastin,carboplatin,ccnu,cyclophosphamide,gliadel,karenitecin,tamoxifen,temodar,thalidomide															1																
bevacizumab,irinotecan,temodar,temozlomide															1																
bevacizumab,irintotecan,temodar															1																
bevacizumab,lomustin,pembrolizumab,temodar															1																
bevacizumab,lomustine,mibefradil,procarbazine,temodar															1																
bevacizumab,lomustine-(ccnu),temodar															1																
afatinib,temodar															1																
capecitabine,celebrex,temodar															1																
carboplatin,ccnu,celebrex,cpt-11,cytoxan,gliadel-wafers,procarbazine,tamoxiten,temazolomide,temodar,vp-16															1																
9-aminocamptothecin,bromo-deoxyuridine,capecitabine,irinotecan,isotretinoin,pcv,tamoxifen,temodar															1																
naxavar																3															
hec.1---sorafenib-vs-sorafenib-plus-doxorubicin																1															
sorafenib,temodar																1															
regorafenib,sarafenib																1															
5-fluorouracil,[not-available],oxaliplatin,sorafenib																1															
abt-888,ly228820,sorafenib,temodar																1															
everolimus,naxavar,som-230																1															
doxorubicin,everolimus,-gemcitabine,-and-cisplatin,sorafenib																1															
cisplatin,gemcitabine,sorafenib,temsirolimus																1															
alvesin																1															
adriamycin,gemcitabine,mitomycin-c,tamoxifen																1															
sorafinib-(-nexavar)																1															
cisplatin,vinblastine																	3														
carboplatin,paclitaxel,pemetrexed																	3														
cisplatin,etoposide,gefitinib																	2														
cisplatin,gemcitabine,vinorelbine																	2														
carboplatin,pemetrexed,tarceva																	2														
carboplatin,paclitaxel,tarceva																	2														
carboplatin,cisplatin,docetaxel,paclitaxel																	2														
carboplatin,cpt-11,gemcitabine,paclitaxel																	1														
avastin,cisplatin,pemetrexed																	1														
avastin,carboplatin,pemetrexed																	1														
avastin,carboplatin,paclitaxel,pemetrexed																	1														
cisplatin,pemetrexed,tarceva																	1														
cisplatin,pemetrexed,vinorelbine																	1														
cisplatin,pemetrexed-disodium																	1														
avastin,carboplatin,paclitaxel																	1													1	
avastin,carboplatin,docetaxel,topotecan																	1														
b12,carboplatin,neulasta,pemetrexed,xgeva																	1														
almita,carboplatin,gemcitabine,pemetrexed																	1														
pemetrexed,tarceva																	1														
placebo,tarceva																	1														
recprame+as15-asci																	1														
cisplatin,etoposide,gemcitabine																	1														
cisplatin,docetaxel,vp-16																	1														
belinostat,carboplatin																	1														
[not-available],cisplatin,docetaxel,gefitinib,gemcitabine																	1														
carboplatin,docetaxel,not-specified,paclitaxel,pemetrexed,tarceva																	1														
carboplatin,gefitinib,paclitaxel,tarceva																	1														
carboplatin,cisplatin,paclitaxel,vinorelbine																	1														
carboplatin,gemcitabine,paclitaxel,pemetrexed,tarceva																	1														
carboplatin,cisplatin,gemcitabine,pemetrexed																	1														
carboplatin,paclitaxel,rec-mage-3-as-+-as15-acs1-,-placebo-vaccine																	1														
bevacizumab,cisplatin,pemetrexed-disodium																	1														
carboplatin,pemetrexed-disodium																	1														
bevacizumab,cisplatin,pemetrexed																	1														
chemo,-multi-agent,-nos,chemo,-nos																	1														
bevacizumab,cisplatin,gemcitabine																	1														
bevacizumab,carboplatin,docetaxel,gemcitabine,paclitaxel,pemetrexed																	1														
bevacizumab,carboplatin,cisplatin,docetaxel,gemcitabine,irinotecan,paclitaxel,pemetrexed,tarceva,vinorelbine																	1														
cisplatin,docetaxel,pemetrexed																	1														
[not-available],cisplatin,docetaxel,etoposide,gemcitabine,zoledronic-acid																	1														
porfimer-sodium-(photofin)																		4													
2-[1-hexyloxyethyl]-2-devinyl-pyropheophorbide-alpha-(hpph-or-photochlor)																		3													
[not-available],carboplatin,pemetrexed																		3													
porfimer-sodium-(photofrin)																		3													
tetrathiomolybdate																		2													
dasatinib																		2													
[not-available],cisplatin,pemetrexed																		2													
[unknown],cisplatin,gemcitabine																		1													
adriamycin,cisplatin,pemetrexed																		1													
porfimer-sodium(photofin)																		1													
dasatinib,gemcitabine,r1507,tarceva																		1													
amatuximab-(morab-009),cisplatin,ds-8273a,gdc-0980,pemetrexed,tivantinib-(arq-197)																		1													
cisplatin,pemetrexed,wt-1-vaccine																		1													
cisplatin,pemetrexed,tetrathiomolybdate																		1													
bevacizumab,carboplatin,cisplatin,dasatinib,doxorubicin,everolimus,imatinib,pemetrexed,temsirolimus																		1													
cisplatin,gemcitabine,pemetrexed,sutent																		1													
cisplatin,gemcitabine,pemetrexed																		1													
cisplatin,dasatinib,pemetrexed																		1													
cisplatin,-pemetrexed,dasatinib,vorinostat																		1													
[not-available],carboplatin,gemcitabine,pemetrexed																		1													
cediranib,dasatinib																		1													
cediranib,cisplatin,dasatinib,pemetrexed																		1													
carboplatin,cisplatin,everolimus,gemcitabine,pemetrexed,vinorelbine																		1													
carboplatin,gl-onc1,pemetrexed																		1													
tivantinib-(arq-197)																		1													
carboplatin,cisplatin,docetaxel																			1												
carboplatin,doxil,gemcitabine,paclitaxel																			1												
5-fluorouracil,gemcitabine																				8											
gemcitabine,xeloda																				5											
5-fluorouracil,gemcitabine,irinotecan,leucovorin,oxaliplatin,paclitaxel																				2											
5-fluorouracil,gemcitabine,irinotecan,leucovorin,oxaliplatin																				2											
5-fluorouracil,gemcitabine,oxaliplatin																				2											
5-fluorouracil,gemcitabine,leucovorin,oxaliplatin																				2											
fu7,gemcitabine,leucovorin																				1											
capecitabine,docetaxel,gemcitabine																				1											
gemcitabine,oxaliplatin																				1											
gemcitabine,paclitaxel																				1											
gemcitabine,tarceva																				1											
5-fluorouracil,irinotecan,oxaliplatin																				1											
5-fluorouracil,gemcitabine-hcl,paclitaxel																				1											
5-fluorouracil,gemcitabine,irinotecan-hydrochloride,leucovorin-calcium,oxaliplatin																				1											
5-fluorouracil,gemcitabine,leucovorin,oxaliplatin,paclitaxel,xeloda																				1											
5-fluorouracil,[not-available],gemcitabine																				1											
5-fluorouracil,gemcitabine,irinotecan,leucovorin,oxaliplatin,xeloda																				1											
5-fluorouracil,gemcitabine,irinotecan,leucovorin																				1											
5-fluorouracil,folinic-acid,gemcitabine,irinotecan-hydrochloride,oxaliplatin																				1											
5-fluorouracil,folinic-acid,gemcitabine,irinotecan,oxaliplatin																				1											
5-fluorouracil,dexamethasone,gemcitabine,megace,oxaliplatin																				1											
5-fluorouracil,cisplatin,gemcitabine																				1											
5-fluorouracil,carboplatin,gemcitabine,leucovorin,oxaliplatin																				1											
5-fluorouracil,capecitabine,gemcitabine,oxaliplatin																				1											
5-fluorouracil,capecitabine,gemcitabine,irinotecan,oxaliplatin																				1											
5-fluorouracil,capecitabine,gemcitabine																				1											
5-fluorouracil,camptosar,eloxatin,gemcitabine,leucovorin																				1											
5-fluorouracil,[unknown],gemcitibine,irinotecan,leucovorin,oxaliplatin																				1											
gemcitabine-injection																				1											
lupron																					12										
eligard																					6										
casodex,lupron																					6										
lhrh-agonist																					3										
leuprolide																					3										
casodex,zoladex																					3										
casodex,eligard																					2										
leuprorelin																					2										
casodex,eligard,lupron																					2										
casodex,trelstar																					2										
abiraterone,leuprolide-acetate																					2										
casodex,docetaxel,lupron																					1										
goserelin																					1										
trenantone																					1										
lupron,zoladex																					1										
"lhrh-agonist-and-anti-androgens-""combined-androgen-blockade"""																					1										
bicalutamid																					1										
leuprorelin,triptorelin																					1										
bicalutamide																					1										
leuprolide-acetate,lupron																					1										
leuprolide-acetate																					1										
leuprolide,leuprolide-acetate																					1										
bicalutamide,leuprorelin,zoledronic-acid																					1										
casodex,goserelin																					1										
firmagon																					1										
bicalutamide,lupron																					1										
degarelix,docetaxel,jevtana,lupron																					1										
cabazitaxel,casodex,docetaxel,zoladex																					1										
abiraterone,leuprolide,lupron																					1										
casodex,lupron,nilutamide																					1										
casodex																					1										
casodex,luprolide-depot,lupron																					1										
casodex,leuprolide-acetate																					1										
casodex,leuprolide																					1										
casodex,ketoconazole,lupron																					1										
abiraterone,cabazitaxel,carboplatin,leuprolide-acetate																					1										
mayo-425-20																						2									
5-fluorouracil,leuocvorin,oxaliplatin																						1									
folinic-acid																						1									
capecitabine--xeloda																						1									
bevacizumab,capecitabine																						1									
5-fluorouracil,oxaliplatin,polyplatillen																						1									
5-fluorouracil,bevacizumab,irinotecan-hcl,leucovorin,oxaliplatin																						1									
5-fluorouracil,etoposide,leucovorin,xeloda																						1									
5-fluorouracil,avastin,leucovorin,oxaliplatin,xeloda																						1									
5-fluorouracil,bevacizumab,capecitabine,gemcitabine,irinotecan,leucovorin,mitomycin,oxaliplatin																						1									
5-fluorouracil,folinic-acid,irinotecan,oxaliplatin																						1									
adriamycin																							5								
doxil																							3								
doxorubicin																							3				2				
adriamycin,docetaxel,gemcitabine,ifosfamide																							2								
ifosfamide																							2							1	
adriamycin,ifosfamide																							2								
docetaxel,gemcitabine,pazopanib																							2								
docetaxel,gemcitabine,pd-0332991																							2								
docetaxel,doxorubicin,gemcitabine																							1								
docetaxel,doxorubicin,gemcitabine,ifosfamide																							1								
docetaxel,gemcitabine,liposomal-doxorubicin																							1								
[not-available],bevacizumab,doxetaxel,gemcitabine,trabectedin,valproic-acid																							1								
doxil,everolimus,gemcitabine,pazopanib,r1507																							1								
dacarbazine,docetaxel,doxorubicin,et-743,gemcitabine,pazopanib																							1								
doxil,gemcitabine																							1								
doxil,ifosfamide																							1								
doxirubicin,gemcitabine																							1								
doxorubicin,gleevec,raloxifene,sorafenib,sulindac,tamoxifen																							1								
ifosfamide,pd-0332991																							1								
megace,tamoxifen																							1								
dacarbazine,docetaxel,doxil,doxorubicin,gemcitabine,ifosfamide,pazopanib																							1								
adriamycin,docetaxel,femara,gemcitabine																							1								
adriamycin,ap-23573-(ariad),dacarbazine-(dtic),docetaxel,enoticumab,et-743,ezn-2968,gemcitabine,pemetrexed,threshold-302																							1								
adriamycin,carboplatin,docetaxel,gemcitabine,ifosfamide																							1								
adriamycin,dacarbazine,docetaxel,gemcitabine																							1								
adriamycin,dacarbazine,docetaxel,gemcitabine,ifosfamide,pazopanib,trabectedin																							1								
adriamycin,dacarbazine,ifosfamide																							1								
adriamycin,docetaxel,doxil,gemcitabine,ifosfamide																							1								
adriamycin,docetaxel,dtic,-dacarbazine,gemcitabine,pazopanib																							1								
adriamycin,docetaxel,gemcitabine																							1								
cisplatin,dacarbazine,doxil,ifosfamide,sorafenib,vorinostat																							1								
adriamycin,docetaxel,gemcitabine,ifosfamide,letrozole																							1								
adriamycin,docetaxel,gemcitabine,ifosfamide,temodar																							1								
adriamycin,doxil,ifosfamide																							1								
adriamycin,etoposide,ifosfamide																							1								
adriamycin,ifosfamide,mesna																							1								
avastin,everolimus,tivozanib																							1								
mln8237,morab-004																							1								
carboplatin,dacarbazine																								2							
dacarbazine																								2							
dacarbazine,vincristine																								2							
aflibercept,il-2,ipilimumab																								1							
alferon,cisplatin,dacarbazine,temodal																								1							
carboplatin,cisplatin,dacarbazine,laferon,temodar																								1							
carboplatin,dacarbazine,laferon																								1							
carboplatin,ipilimumab,paclitaxel,pembrolizumab																								1							
ciclosporin,cisplatin,dacarbazine,dexamethasone,erythropoietin,renamin,vinblastine,zofran																								1							
dabrafenib,trametinib																								1							
fareston,lomustine																								1							
lomustine																								1							
5-fluorouracil,etoposide,leucovorin																									10						
5-flourouracil,cisplatin,epirubicin																									7						
capecitabine,cisplatin,epirubicin																									6						
doxifluridine																									4						
dexamethasone,epirubicin,oxaliplatin,xeloda																									3						
copolang,didox																									3						
ts-1																									2						
5-fluorouracil,cisplatin,etoposide,leucovorin																									2						
copolang,doxifluridine,mitomycin																									1						
cisplatin,ts-1,xeloda																									1						
copolang,doxifluridine,eloxatin,micomycin,xeloda																									1						
cisplatin,irinotecan																									1						
cisplatin,dexamethasone,epirubicin,leukine,oxaliplatin																									1						
cddp,paclitaxel																									1						
carboplatin,taxel																									1						
copolang-caps,doxifluridine,mitomycin-c																									1						
didox																									1						
cyclophosphane,dacarbazine,doxorubicin,vincristine																									1						
dexamethasone,epirubicin,oxaliplatin																									1						
capecytabinum,cisplatin,epirubicinum																									1						
doxifluridin																									1						
eloxatin(oxaliplatin),ts-1,xeloda(capecitabine)																									1						
epirubicin,halaven,medrol,oxaliplatin																									1						
epirubicin,oxaliplatin,paclitaxel,xeloda																									1						
epirubicin,oxaliplatin,xeloda																									1						
oxaliplatin,xeloda																									1						
plfe																									1						
plfe,flo																									1						
unkown																									1						
5-flourouracil,cisplatin,docetaxel																									1						
capecitabine,oxaliplatin,xeloda																									1						
capecitabine,flc																									1						
5-fluorouracil,calcium-foliatum,cisplatin,epirubicinum																									1						
5-fluorouracil,calcium-foliatum,etc-posidum																									1						
5-fluorouracil,camptosar,methotrexate																									1						
5-fluorouracil,capecitabine,epirubicin,leucovorin,oxaliplatin																									1						
5-fluorouracil,capecitabine,oxaliplatin																									1						
5-fluorouracil,capecytabinum,cisplatin,dexamethasone-phosphate,docetaxelum,epirubicin,oxaliplatin																									1						
5-fluorouracil,capecytabinum,epirubicinum,oxaliplatinum																									1						
5-fluorouracil,carboplatin,cisplatin,leucovorin																									1						
5-fluorouracil,carboplatin,etoposide																									1						
5-fluorouracil,carboplatin,etoposide,leucovorin																									1						
5-fluorouracil,cisplatin,docetaxel,folinic-acid,mitomycin																									1						
5-fluorouracil,cisplatin,doxorubicin																									1						
5-fluorouracil,cisplatin,epirubicin,leucovorin																									1						
5-fluorouracil,cisplatin,etoposide,leucovorin,oxaliplatin																									1						
5-fluorouracil,cisplatin,etoposide,leucovorin,polyplatillen																									1						
5-fluorouracil,cisplatin,folinic-acid																									1						
5-fluorouracil,cisplatin,leucovorin																									1						
5-fluorouracil,docetaxel,erbitux,folinic-acid,oxaliplatin																									1						
5-fluorouracil,etoposide,leucovorin,oxaliplatin																									1						
5-fluorouracil,etoposide-phosphate,leucovorin																									1						
5-fluorouracil,leucovorin,oxaloplatin																									1						
5-fluorouracil,leucovorin,polyplatillen																									1						
5-fluorouracil,leucovorin,vp-16																									1						
5-fluorouracil,leucovorin,xeloda																									1						
5-fluorouracil,xelox																									1						
xelox																									1						
bleomycin,cisplatin,etoposide																										46					
bleomycin																										3					
bleomycin,cisplatin,etoposid																										1					
bleomycin,cisplatin,gemox,ifosfamide																										1					
bleomycin,etoposide,ifosfamide,paclitaxel,platinum																										1					
bleomycin,etoposide,platinum																										1					
cisplatin,etoposide,ifosfamid																										1					
synthroid																											13				
levothyroxine																											12				
cytomel,synthroid																											5				
cytomel,levothyroxine																											4				
cytomel,levoxyl																											2				
levoxyl																											2				
armour-thyroid																											1				
cytomel																											1				
cytomel,levothroid,synthroid																											1				
azathioprine																												2			
cisplatin,cyclophosphamide,doxorubicin,pemetrexed																												1			
megace																													6		
carboplatin,doxil,paclitaxel																													6	1	
carboplatin,doxorubicin,paclitaxel																													4		
adriamycin,cisplatin,paclitaxel																													2		
cisplatin,doxorubicin,paclitaxel																													2		
carboplatin-and-paclitaxel																													2		
carboplatin,paclitaxel,topotecan																													1		
carboplatin,paclitaxel,zometa																													1		
carboplatin-&-paclitaxel,vegf-trap																													1		
adriamycin,avastin,carboplatin,cisplatin,fulvestrant,gemcitabine,paclitaxel																													1		
cisplatin,cyclophosphamide,doxorubicin																													1		
doxorubicin,paclitaxel																													1		
letrozole-femara																													1		
portec3-radiation-alone																													1		
carboplatin,paclitaxel,bevacizumab,doxil-&-carboplatin																													1		
carboplatin,doxorubicin,paclitaxel,temsirolimus																													1		
carboplatin,megace,paclitaxel,tamoxifen																													1		
carboplatin,megace,paclitaxel																													1		
carboplatin,liposomal-doxorubicin,paclitaxel																													1		
adriamycin,carboplatin,docetaxel																													1		
carboplatin,doxil,paclitaxel,topotecan																													1		
carboplatin,clinical-trial-study-agent,paclitaxel																													1		
brivanib,carboplatin,doxorubicin,gemcitabine,paclitaxel,tivozanib																													1		
bevacizumab,carboplatin,paclitaxel																													1		
bevacizumab,carboplatin,ixabepilone																													1		
bevacizumab,carboplatin,gemcitabine,ixabepilone,paclitaxel,topotecan																													1		
azd6244,carboplatin,paclitaxel																													1		
arimidex,carboplatin																													1		
adriamycin,paclitaxel,tamoxifen-&-megace																													1		
adriamycin,paclitaxel																													1		
cisplatin,ifosfamide																														2	
adriamycin,cisplatin,cyclophosphamide																														1	
adriamycin,cisplatin,cytoxan,ifosfamide,mesna,paclitaxel																														1	
carboplatin,cisplatin,ifosfamide,mesna,paclitaxel																														1	
carboplatin,ifosfamide,paclitaxel																														1	
ifex,mesna,paclitaxel																														1	
ifosfamide,paclitaxel																														1	
fotemustine																															4
