	TCGA-CESC	TCGA-HNSC	TCGA-LUSC	TCGA-ESCA	TCGA-BRCA	TCGA-GBM	TCGA-OV	TCGA-LUAD	TCGA-UCEC	TCGA-KIRC	TCGA-LGG	TCGA-THCA	TCGA-PRAD	TCGA-SKCM	TCGA-COAD	TCGA-STAD	TCGA-BLCA	TCGA-LIHC	TCGA-KIRP	TCGA-SARC	TCGA-PAAD	TCGA-PCPG	TCGA-READ	TCGA-TGCT	TCGA-THYM	TCGA-KICH	TCGA-ACC	TCGA-MESO	TCGA-UVM	TCGA-DLBC	TCGA-UCS	TCGA-CHOL
clodronate,cyclophosphamide,doxorubicin,paclitaxel,tamoxifen,triptorelin					1.0																											
cytoxan,docetaxel,herceptin,tamoxifen					1.0																											
adriamyicin,cyclophosphamide,paclitaxel,tamoxifen					1.0																											
5-fluorouracil,cyclophosphamide,epirubicin,letrozole,pamidronate,tamoxifen,zoledronic acid					1.0																											
cytoxan,docetaxel,doxorubicin					1.0																											
arimidex,cyclophosphamide,doxorubicin,flourouracil,methotrexate,paclitaxel					1.0																											
adriamycin,carboplatin,cytoxan,gemcitabine,xeloda					1.0																											
cyclophospamide,doxorubicin,letrozole (femara),paclitaxel					1.0																											
cytoxan					1.0																											
5-fluorouracil,cytoxan,epirubicin,paclitaxel,tamoxifen,trastuzumab					1.0																											
methotrexate,mitomycin,mitoxantrone,tamoxifen					1.0																											
arimidex,cytoxan,doxorubicin,neulasta					1.0																											
arimidex,exemestane,letrozole					1.0																											
adriamycin,arimidex,cytoxan,docetaxel,e-75					1.0																											
arimidex,tamoxifen,tc					1.0																											
cyclophasphamide,doxorubicin,paclitaxel					1.0																											
arimidex,femara					1.0																											
[not available],cytoxan,doxorubicin,paclitaxel,tamoxifen					1.0																											
cyclophosphamidum,doxorubicinum,paclitaxel,tamoxifen					1.0																											
5-fluorouracil,cyclophosphamide,epirubicin,femara,paclitaxel,tamoxifen					1.0																											
adriamycin,carboplatin,cyclophosphamide,denosumab,docetaxel,gemcitabine,paclitaxel					1.0																											
adriamycin,cytoxan,herceptin,letrozole,paclitaxel,tamoxifen,zoladex					1.0																											
5-fluorouracil,cyclophosphamid,metotreksat					1.0																											
5-fluorouracil,cyclophosphamide,methotrexate,pamidronate,vincristine					1.0																											
chemo, nos,hormone, nos					1.0																											
adriamycin,cisplatin,docetaxel,exemestane,gemcitabine,paclitaxel,vinorelbine,xeloda					1.0																											
cyclophosphamide,doxorubicin,letrozole (femara),paclitaxel					1.0																											
adriamycin,cyclophosphamide,herceptin,paclitaxel					1.0																											
carboplatin,cyclophosphamide,letrozole					1.0																											
adriamycin,cyclophosphamide,docetaxel					1.0																											
poly e					1.0																											
fareston,tamoxifen					1.0																											
aromasin,cytoxan,docetaxel					1.0																											
temodar						61.0					95.0			2.0																		
temozolomide						55.0					86.0			1.0																		
dexamethasone						15.0																										
avastin,temodar						15.0					7.0																					
avastin,temozolomide						9.0																										
dexamethasone,temodar						7.0																										
6 thiguanine,ccnu,celebrex,temozolomide,xeloda						4.0																										
dendriticcell vaccine,temozolomide						2.0																										
avastin,lomustine,temodar						2.0																										
avastin,cpt 11,temodar						2.0																										
bevacizumab,temozolomide						2.0					6.0																					
avastin,cpt11,temodar						2.0																										
dexamethasone,gliadel,temador						2.0																										
gliadel wafer						2.0					1.0																					
ccnu						2.0																										
cis retinoic acid,temozolomide						2.0																										
cpt 11,temozolomide,thalidomide						2.0																										
avastin,irinotecan,temodar						2.0					1.0																					
cisplatin,dexamethasone,oxcarbazepine,temozolomide						2.0																										
avastin,dexamethasone,temodar						2.0																										
gliadel wafer,temodar						2.0																										
dexamethasone,gliadel wafer						2.0																										
ccnu,cpt 11,gliadel wafer,temozolomide						1.0																										
accutane,temodar						1.0																										
06-bg,bcnu,cpt-11,tamoxifen,temozolomide,vp-16						1.0																										
dexamethasone,dexamethazone,gliadel wafer (bcnu),temodar						1.0																										
avastin,dexamethasone,gliadel wafers,temodar						1.0																										
abt-888,cabozantinib,temozolomide						1.0																										
avastin,bevacizumab avastin,gliadel wafer,gliadel wafers,metronomic temodar,temodar						1.0																										
carboplatin,ccnu,procarbazine,tarceva,vincristine						1.0																										
bcnu,mgi 114,suramin,tamoxifen,temozolomide						1.0																										
cyclophosphamide,gliadel waters,thalidomide						1.0																										
avastin,bs1-201,temozolomide						1.0																										
avastin,etoposide						1.0																										
tarceva,temozolomide						1.0																										
bevacizumab,irinotecan,temodar						1.0																										
ccnu,celebrex,ch81c6,cpt-11,mab i131,tamoxifen,temozolomide						1.0																										
dexamethasome,dexamethasone,oxaliplatin,ps 341,temodar						1.0																										
avastin,bevacizumab,carboplatin,temodar,temozolomide,xl 184						1.0																										
dexamethasone,oxaliplatin						1.0																										
bcnu,cpt-11						1.0																										
06-bg,06-bg (nabtt 0803),cai (nabtt 97212),carmustine (bcnu),gliadel wafer,reinoid/cis retinoic acid,temozolomide,vatalanib (ptk787)						1.0																										
dexamethasone,gliadel wafers						1.0																										
avastin,temodor						1.0																										
pyrazinamide						1.0																										
angiocept,avastin,daclizumab,temodar,vp 16						1.0																										
avastin,gliadel wafer carmustine,temozolomide						1.0																										
dexamethasone,gleevac,gliadel,hydroxyurea,temodar						1.0																										
carmustine,temodar						1.0																										
[not available],temodar						1.0																										
act pep3 klh,avastin,ccng,temodor						1.0																										
avastin,cpt 11,pep3 klh,temodar,vp 16						1.0																										
arsenic trioxide,avastin,carboplatin,dexamethasone,prednisone,sovatenib,temodar						1.0																										
bibw 2992,temodar,tumor vaccine						1.0																										
ccnu,cpt-11,vp-16						1.0																										
bcnu,cisplatin,dexamethasone,etoposide,gliadel,oxaliplatin,tarceva,temodar,vincristin						1.0																										
bevacizumab,dexamethasone,fotemustine,irinotecan,pcb,temozolomide,valproic acid						1.0																										
avastin,cpt 11,emd,temozolomide						1.0																										
avastin,bibw2992,irinotecan,metexafin gadolinium,temodar						1.0																										
cisplatin,dexamethasone,fotemustine,procarbazine,temozolomide,temozolomoide						1.0																										
arsenic tnoxide,avastin,dexamethasone,dexamthasone,tarceva						1.0																										
bcnu,carmustine,ci980,gliadel wafer						1.0																										
bcnu,cpt-11,o6bg,sch66336,sch6636,temozolomide,vp-16						1.0																										
bevacizumab,irinotecan,temozolomide						1.0					4.0																					
il-13pe,temozolomide						1.0																										
anti necplatens,temozolomide						1.0																										
dexamethasone,temozolomide						1.0																										
avastin,dexaethasone,dexamethasone,temodar						1.0																										
carboplatin,iressa,temozolomide						1.0																										
cisplatin,dexamethasone,fotemustine,levenracetam,pc2,temozolomide						1.0																										
avastin,cpt11						1.0																										
cisplatin,dexamethasone,temozolomide						1.0																										
6 thiguanine,ccnu,celebrex,xeloda						1.0																										
celebrex,temozolomide,xeloda						1.0																										
ccng,tamoxifen,tamoxiten,temodor,vp-16						1.0																										
bcnu,carboplatin,mab i 131,mu81c6,procarbazine,topotecan						1.0																										
ict-107,temodar						1.0																										
gliadel wafer,temozolomide						1.0																										
81c6,ccnu,mab i-131,vp-16						1.0																										
gleevec,hydoxyurea,temozolomide						1.0																										
ccnu,procarbizine,vincristine						1.0																										
avastin,bsi-201,temodar						1.0																										
bcnu,cisplatin,dexamethasone,ft,levetiracetam,pc2,temozolomide						1.0																										
temozolamide,temozolomide						1.0																										
motexafin gadolinium,temodar						1.0																										
bcnu,cpt-11,temodar						1.0																										
cisplatin,dexamethasone,levetiracetam,temozolomide						1.0																										
cai nabit 9712,procarbazine,temozolomide						1.0																										
avastin,cpt 11,temodar,vp 16						1.0																										
bevacozimab,temozolomide						1.0																										
azd,bevacizumab,irinotecan,lomustine,tarceva,temozolomide						1.0																										
dexamethasone,fotemustine,levetiracetam,temozolomide						1.0																										
bevacizumab,carboplatin,cedicanib,cilengitide,dc vax (dendritic cell vaccine),dcvax,dendritic cell vaccine (dcvax),lomustine ccnu,temozolomide						1.0																										
temozomide						1.0																										
abtc 0603 hydroxychloroquine,temozolomide						1.0																										
avastin,tarceva,temodar						1.0																										
dexamethasone,gliadel						1.0																										
lomustine,procarbazine,temozolomide						1.0					1.0																					
avastin,ccnu,temodar						1.0					1.0																					
temoxolomide,temozolomide						1.0																										
carmustine,ci-980,gliadel wafer						1.0																										
bevacizumab,r04929097,temodar						1.0																										
dexamethasone,gliadel wafer,oxcarbazepine,temozolomide						1.0																										
cddp,dexamethasone,doxorubicin,temozolomide						1.0																										
dexamethasone,gliadel bcnu,temodar						1.0																										
bevacizumab or placebo rtog 0825,temozolomide						1.0																										
avastin,cpt 11,temozolomide						1.0																										
carboxy amido triazole,dexamethasone						1.0																										
bevacizumab,irintocean,temozolomide						1.0																										
motexatin gadoinium,temodar						1.0																										
tanceva						1.0																										
carmustine (bcnu),gliadel wafer,tamoxifen,temozolomide						1.0																										
lomustine,recentin placebo axdx2171,temozolomide						1.0																										
avastin,cpt 11,rapamycin,tarceva,temodar						1.0																										
amg 102,temodar,vp 16						1.0																										
6-mercaptopurine,carboplatin,carmustine,cisplatin,cpt 11,dexamethasone,etoposide,procarbazine,streptozocin,temodar,thalidomide						1.0																										
lomustine,plexxikon plx3397,procarbazine,temozolomide						1.0																										
attac,avastin,cpt-11,temador						1.0																										
dexamethsone						1.0																										
carmustine,paclitaxel,procarbazine,tamoxifen						1.0																										
cilengitide,temozolomide						1.0																										
carmustine (bcnu),temozolomide						1.0																										
cisplatin,dexamethasone,lumustine,phenytoin sodium,tarceva,temozolomide						1.0																										
dexamethasone,valproic acid						1.0																										
dexamethasone,levetiracetam,temozolomide						1.0																										
avastin,cpt 11,cytoxan,gleevac,hydroxyurea,sirolimus,tarceva,temodar						1.0																										
avastin,cpt 11,tarceva,temodar,vp 16						1.0																										
hydrochoroquine,temozolomide						1.0																										
temodar,temozolomode						1.0																										
abt-888 parp inhibitor,bevacizumab,carboplatin,temozolomide						1.0																										
avastin,bevacizumab,carboplatin,irinotecan,temodar,temozlomide,xl 184						1.0																										
cilenaitide,temodar						1.0																										
[not available],dexmethasone						1.0																										
temodor						1.0																										
bevacizumab,temodar						1.0					1.0																					
attac,avastin,temodar						1.0																										
bevacizumab,carboplatin,irinotecan,temozolomide						1.0					1.0																					
temodar (escalation)						1.0																										
temozolomide,vandetanib						1.0																										
celebrex,cis retinoic acid,cra						1.0																										
avastin,bevacizumab,doxil,irinotecan,temozolomide						1.0																										
gdc-0449,temodar						1.0																										
gliadel wafer,motexafin gadolinium,temodar						1.0																										
avastin,cpt-11,temodor						1.0																										
lomustine,procarbazine,temodar						1.0																										
06bg,acctuane,accutane,avastin,ccnu,chloroquine,cpt 11,gliadel wafer,hydroxyuerea,hydroxyurea,rapamycin,tarceva,temodar						1.0																										
bevacizumab,irinotecan						1.0					1.0																					
81c6,ccnu,cpt-11,mabi131,tamoxifen,temozolomide						1.0																										
attac,panzem,temodor,temozolamide						1.0																										
avastin,gliadle wafer,temodar						1.0																										
bevacizumab,cpt 11,temozolomide						1.0																										
cisplatin,dexamethasone,fotemustine,procarbazine,temozolomide						1.0																										
avastin,ccnu,cpt 11,temodar						1.0																										
ccnu,gleevac,hydroxurea,temodar,vp 16						1.0																										
avastin,irinotecan,temozolomide						1.0																										
[not available],avastin,temodar						1.0																										
bcnu,cisplatin,dexamethasone						1.0																										
carboplatin,doxil,paclitaxel							8.0		7.0																						1.0	
carboplatin,paciltaxel							7.0																									
carboplatin,doxil,gemcitabine,paclitaxel,topotecan							7.0																									
bevacizumab,carboplatin,paclitaxel							5.0		1.0																							
carboplatin,liposomal doxorubicin,paclitaxel							5.0		1.0																							
carboplatin,cisplatin,paciltaxel							5.0																									
carboplatin,cisplatin,doxil,paclitaxel,topotecan							4.0																									
carboplatin,doxil,paclitaxel,topotecan							4.0		1.0																							
carboplatin,cisplatin,docetaxel,paclitaxel							4.0	2.0	1.0																							
carboplatin,cisplatin,gemcitabine,paclitaxel							4.0																									
carboplatin,docetaxel,doxil,gemcitabine,paclitaxel,topotecan							4.0																									
carboplatin,paclitaxel,tamoxifen							4.0																									
carboplatin,paclitaxel,topotecan							4.0		1.0																							
carboplatin,cisplatin,doxil,gemcitabine,paclitaxel,topotecan,vinorelbine							3.0																									
carbo,paclitaxel,topotecan							3.0																									
carboplatin,femara,paclitaxel							3.0																									
carbo,paclitaxel							3.0																									
cisplatin,docetaxel,paclitaxel							3.0																									
carboplatin,doxil,gemcitabine,paclitaxel							3.0																									
carboplatin,doxil,gemcitibine,paclitaxel,topotecan							2.0																									
avastin,carboplatin,cisplatin,cytoxan,doxil,gemcitabine,paclitaxel,topotecan,vinorelbine							2.0																									
carboplatin,cisplatin,cytoxan,paclitaxel							2.0																									
carboplatin,cytoxan							2.0																									
carboplatin,doxorubicin,gemcitabine,paclitaxel,topotecan,vinorelbine							2.0																									
carboplatin,cisplatin,doxil,gemcitabine,paclitaxel,topotecan							2.0																									
carboplatin,gemcitibine,paclitaxel							2.0																									
carboplatin,doxil,paclitaxel,topotecan,vinorelbine							2.0																									
carboplatin,doxil,gemcitabine,paclitaxel,topotecan,vinorelbine							2.0																									
carboplatin,paciltaxel,paciltaxle							2.0																									
avastin,carboplatin,docetaxel,gemcitabine,paciltaxel							1.0																									
bevacizumab,cisplatin,paclitaxel,tamoxifen							1.0																									
carboplatin,paclitaxel,velcade							1.0																									
[not available],carboplatin,cisplatin,gemcitabine,paclitaxel,tamoxifen,topotecan,vamydex							1.0																									
carboplatin,cisplatin,docetaxel,doxil,gemcitabine,paclitaxel,topotecan							1.0																									
carboplatin,doxil,gemcitabine,paclitaxel,tamoxifen,topotecan							1.0																									
bevacizumiab/ versus placebo,carboplatin,paclitaxel							1.0																									
carboplatin,docetaxel,paclitaxel,topotecan,vinorelbine							1.0																									
cisplatin,erbitux,paciltaxel							1.0																									
carboplatin,cisplatin,gemcitibine,paclitaxel							1.0																									
carbo,cytoxan,paclitaxel,topotecan							1.0																									
carboplatin,cisplatin,docetaxel,paclitaxel,tamoxifen							1.0																									
carboplatin,cisplatin,liposomal doxorubicin,paclitaxel							1.0																									
carboplatin,docetaxel,letrozole,lupron							1.0																									
bevacizumab,carboplatin,docetaxel,doxorubicin hcl,gemcitabine,paclitaxel							1.0																									
carboplatin,cisplatin,docetaxel,doxil,paclitaxel							1.0																									
carboplatin,doxorubicin hci lipsome,paclitaxel							1.0																									
carboplatin,cisplatin,docetaxel,etoposide,gemcitibine,paclitaxel,toptecan							1.0																									
cisplatin,paclitaxel,topotecan							1.0																									
armidex,carboplatin,docetaxel,doxil,gemcitabine,paclitaxel,topotecan,vp 16							1.0																									
carboplatin,doxorubicin,paclitaxel,topotecan							1.0																									
carboplatin,cisplatin,gemcitabine,ovarex study,paclitaxel							1.0																									
carboplatin,cisplatin,doxil,gemcitabine,ovarex/placebo,paclitaxel,topotecan							1.0																									
carboplatin,liposomal doxorubicin,pacitaxel							1.0																									
bevacizumab,carboplatin,cytoxan,doxil,gemcitabine,paclitaxel,xyotax							1.0																									
carboplatin,hexalin,paclitaxel,tamoxifen							1.0																									
5f4 leucovorin,avastin,carboplatin,cisplatin,docetaxel,doxil,etoposide,gemcitabine,hexalen,paclitaxel,rbbx 01,topotecan,vinorelbine							1.0																									
amitostin,carboplatin,cisplatin,doxil,gemcitabine,hexamethymelamine,ovarex/placebo,paclitaxel,topotecan,vinorelbine							1.0																									
carboplatin,cisplatin,docetaxel,gemcitabine							1.0																									
carboplatin,cisplatin,docetaxel,gemcitibane,gemcitibine,paclitaxel,topotecan							1.0																									
carboplatin,cisplatin,doxil,gemcitabine,paclitaxel							1.0																									
avastin,carboplatin,cbp501,doxil,gemcitabine,paclitaxel,vinorelbine							1.0																									
[not available],carboplatin							1.0																									
abagovomab or placebo,carboplatin,paclitaxel							1.0																									
avastin/bevacizumab/placebo,carboplatin,paclitaxel							1.0																									
carboplatin,docetaxel,gemicitabine,paciltaxel							1.0																									
carboplatin,cytoxan,doxil,paclitaxel,topotecan,vinorelbine							1.0																									
carboplatin,cisplatin,docetaxel							1.0																									
avastin,carboplatin,docetaxel,doxil,paclitaxel							1.0																									
cytoxan,decodron,mitoxantrone,vincristine							1.0																									
carboplatin,docetaxel,doxil,gemcitabine,patupilone,topotecan							1.0																									
carboplatin,docetaxel,doxil,gemcitabine,letrozole,paclitaxel							1.0																									
avastin,carboplatin,docetaxel,oxaliplatin							1.0																									
carboplatin,cisplatin,cytoxan,docetaxel,doxil,gemcitabine,paclitaxel,tamoxifen,topotecan							1.0																									
carboplatin,cisplatin,doxil,gemcitabine,hexalen,paclitaxel,topotecan,vinorelbine							1.0																									
bevacizumab,carboplatin,docetaxel,doxorubicin,gemcitabine,paclitaxel,topotecan hcl							1.0																									
cisplatin,paciltaxel							1.0																									
carboplatin,doxil,paclitaxel,tamoxifen							1.0																									
carboplatin,cisplatin,doxetaxel,pacliatxel							1.0																									
carbopaltin,paclitaxel							1.0																									
carboplatin,docetaxel,paclitaxel,vp 16							1.0																									
[not available],gog 218							1.0																									
carboplatin,docetaxel,doxil,femara,gemcitabine,oca rex oregovomab,paclitaxel							1.0																									
avastin (bevacizumab),carboplatin,docetaxel,doxil,gemcitabine hcl,paclitaxel,tamoxifen,toptecan							1.0																									
carboplatin,cisplatin,docetaxel,doxorubicin,gemcitabine,paclitaxel							1.0																									
bevacizumab vs placebo,carboplatin,cisplatin,docetaxel,doxil,gemcitabine hcl,paclitaxel,tamoxifen							1.0																									
bevacizumab,carboplatin,docetaxel,doxil,paclitaxel							1.0																									
carboplatin,carbplatin,doxil,gemcitabine,il 2,paclitaxel,tamoxifen,topotecan							1.0																									
cisplatin,doxorubicin,paclitaxel							1.0		3.0																							
bevacizumab,carboplatin,docetaxel,doxil,gemcitabine,paclitaxel,topotecan hcl							1.0																									
amitostine,carboplatin,cisplatin,doxil,gezmar,paclitaxel,tamoxifen,topotecan,vp16							1.0																									
carboplatin,cisplatin,doxil,gemcitabine,hexalen,hexalin,il 12,paclitaxel,vp 16							1.0																									
bevacizumab,cisplatin,paclitaxel							1.0																									
avastin,carboplatin,doxil,gemcitabine,paclitaxel,topotecan							1.0																									
carboplatin,investigal drug avastin,paclitaxel							1.0																									
bevacizumab,carboplatin,docetaxel,paclitaxel							1.0																									
bevacizumab,carboplatin,cep 11981,docetaxel,doxorubincin hcl,gemcitabine hcl,oxaliplatin,paclitaxel,topotecan							1.0																									
carboplatin,interferon gamma,paclitaxel							1.0																									
carboplatin,etoposide,melphalan,paclitaxel							1.0																									
carboplatin,cisplatin,docetaxel,doxil,gemcitabine,paclitaxel,topotecan/carboplatin							1.0																									
carboplatin,gemcitabine,liosomal docorubicin,paciltaxel							1.0																									
carboplatin,doxil,interleukin-12,paclitaxel							1.0																									
carboplatin,cisplatin,gemcitabine,ifosfamide							1.0																									
carboplatin,docetaxel,doxil,paclitaxel,topotecan							1.0																									
aromasin,avastin,carboplatin,cisplatin,faslodex,fuluestrant,gemcitibine,paclitaxel,tamoxifen							1.0																									
carboplatin,carboplatin #1,cisplatin #2-7,cytoxan,gemcitabine,hexalen,paclitaxel,topotecan,vinorelbine							1.0																									
carboplatin,doxil,gemcitabine,paclitaxel,tamoxifen,topotecan,xeloda							1.0																									
armidex,avastin,carboplatin,cisplatin,docetaxel,doxil,gemcitabine,paclitaxel,topotecan,toptecan							1.0																									
carboplatin,chlorambucil,cisplatin,cytoxan,hexalen,paclitaxel							1.0																									
carboplatin,docetaxel,gemcitabine,paclitaxel,tamoxifen							1.0																									
carbo,doxil,paclitaxel,topotecan							1.0																									
amg 706,avastin,carboplatin,cisplatin,docetaxel,doxil,gemcitabine,paclitaxel							1.0																									
bevacizumab,carboplatin,docetaxel,oxaliplatin,paclitaxel							1.0																									
carbo,gemcitabine,paclitaxel							1.0																									
carboplatin,paclitaxel,tamoxifen,topetecan							1.0																									
avastin,carboplatin,doxil,gemcitabine,paclitaxel,topotecan,vinorelbine							1.0																									
carboplatin,cisplatin,docetaxel,gemcitabine,paclitaxel							1.0																									
carboplatin,liposomal doxorubicin							1.0																									
carboplatin,docetaxel,doxorubicin,paclitaxel,topotecan							1.0																									
carboplatin,gemcitabine,paclitaxel,topotecan,vinorelbine							1.0																									
bevacizumab or placebo,carboplatin,doxorubicin,gemcitabine,paciltaxel							1.0																									
carboplatin,cisplatin,ct2103 taxane analog,doxorubicin hcl liposomal,gemcitabine,paclitaxel,tamoxifen,topotecan							1.0																									
cisplatin,docetaxel,paclitaxel,topotecan							1.0																									
avastin,carboplatin,ccdp,docetaxel,oxaliplatin,paclitaxel							1.0																									
carboplatin,cisplatin,docetaxel,doxil,gemzan,paclitaxel,toptecan,vp16,xeloda							1.0																									
adriamycin,armidex,carboplatin,cytoxan,doxil,gemcitabine,paclitaxel,sargramostin,topotecan,trabectedin							1.0																									
[not available],carboplatin,doxil,paclitaxel							1.0																									
altima,avastin,carboplatin,catumaxumab,cytoxin,doxil,gemcitabine,paclitaxel,topotecan							1.0																									
bevacizumab,carboplatin,doxil,gemcitabine hcl,paclitaxel							1.0																									
carbo,gemcitabine,paclitaxel,topotecan							1.0																									
arimidex,carboplatin,doxil,gemcitabine,paclitaxel,tamoxifen							1.0																									
carboplatin,cisplatin,cytoxan,doxil,megace (oral),paclitaxel,topotecan							1.0																									
avastin,carboplatin,carbplatin,cisplatin,docetaxel,doxil,doxorubicin,gemcitabine,paclitaxel							1.0																									
carboplatin,paclitaxel,topecan							1.0																									
carboplatin,pacliltaxel							1.0																									
avastin,carboplatin,doxil,paclitaxel							1.0																									
carboplatin,docetaxel,doxil,herceptin,irressa,paclitaxel,tamoxifen,topotecan							1.0																									
carboplatin,gemcitabine,paclitaxel,topotecan							1.0																									
carboplatin,docetaxel,doxorubicin hci liiposomal,paclitaxel,topotecan hcl							1.0																									
carboplatin,cisplatin,doxil,gemcitabine,paclitaxel,toptecan							1.0																									
bevacizumab,docetaxel,oxaliplatin							1.0																									
carboplatin,doxil,gemcitibine,paclitaxel							1.0																									
carboplatin,cisplatin,docetaxel,doxorubicin,gemcitabine,paclitaxel,topotecan							1.0																									
abagovomab vs placebo,carboplatin,cisplatin,paciltaxel							1.0																									
cisplatin,docetaxel,doxil,etoposide,paclitaxel							1.0																									
amitostine,carboplatin,doxil,paclitaxel,topotecan							1.0																									
carboplatin,doxil,paclitaxel,xyotax							1.0																									
bevacizamab/placebo,carboplatin,paclitaxel							1.0																									
avastin,carboplatin,doxorubicin,paclitaxel							1.0																									
bevacizumab,carboplatin,gemcitabine,paclitaxel							1.0																									
carboplatin,paclitaxel,sns 595							1.0																									
carboplatin 6th,hexalen,paclitaxel,topotecan							1.0																									
carboplatin,femara,paciltaxel							1.0																									
carboplatin,docetaxel,doxil,gemcitabine,paclitaxel							1.0																									
carbobplatin,cisplatin,paclitaxel							1.0																									
carboplatin,cisplatin,cyclophosphamide,paclitaxel							1.0																									
carboplatin,cisplatin,docetaxel,doxil,oxaliplatin,paclitaxel,tamoxifen							1.0																									
carboplatin,ovarex/ind,paclitaxel,xeloda							1.0																									
avastin,carboplatin,cisplatin,cytoxan,megace,paclitaxel,provera							1.0																									
carboplatin,cisplatin,paclitaxel,taxane							1.0																									
bevacizumab,carboplatin,cisplatin,cytoxen,doxetaxel,doxil,paclitaxel,tamoxifen,topotecan,vinorelbine							1.0																									
carboplatin,cisplatin,docetaxel,doxorubicin,gemcitabine,paclitaxel,topotecan,xeloda							1.0																									
carboplatin,cisplatin,cytoxan,docetaxel,etoposide,hexalen,oral etoposide,paclitaxel,topotecan							1.0																									
carboplatin,doxil,etoposide,gemzet,paclitaxel,topotecan							1.0																									
avastin,carboplatin,paclitaxel							1.0	1.0																							1.0	
carboplatin,docetaxel,paciltaxel							1.0																									
adriamycin,carboplatin,cpt 11,docetaxel,doxil,gemcitabine,paclitaxel,tamoxifen,topotecan,vinorelbine							1.0																									
avastin,carboplatin,cyclophosphamide,gemcitabine,melphalon,paclitaxel,topotecan							1.0																									
carboplatin,doxil,paclitaxel,trabectedin							1.0																									
aminopterin,carboplatin,gaminocamptothecin,paclitaxel,sch 58500							1.0																									
bevacizumab,carboplatin,cyclophosphamide,doxorubicin hcl,gemcitabine,paclitaxel							1.0																									
ba4 43 9006,carboplatin,gemcitabine,paclitaxel							1.0																									
carboplatin,docetaxel,gemcitabine,paclitaxel,topotecan,vinorelbine							1.0																									
carboplatin,paclitaxel,tamoxifen,toptecan							1.0																									
carboplatin,gemcitabine,liposomal doxorubicin,paclitaxel							1.0																									
carbo,doxil,paclitaxel,topetecan							1.0																									
carboplatin,docetaxel,oxaliplatin,paclitaxel							1.0																									
amgen 706,bevacizumab,carboplatin,cytoxan,docetaxel,doxorubicin hcl liposomal -doxil,gemcitabine,paclitaxel,tamoxifen							1.0																									
carboplatin,paciltaxal							1.0																									
carboplatin,gemcitabine,liposomal doxorubican,paclitaxil							1.0																									
carbo,paclitaxel,topetecan							1.0																									
carbplatin,paclitaxel							1.0																									
abagovomag vs placebo,bevacizumab,carboplatin,pacilatxel,paciltaxel							1.0																									
carboplatin,gemcitabine hci,paclitaxel,paclitaxel; albumin-bount							1.0																									
carboplatin,cisplatin,docetaxel,doxil,gemcitabine							1.0																									
carboplatin,docetaxel,doxil,gemcitabine,paclitaxel,tamoxifen							1.0																									
carboplatin,doxil,gemcitabine,ovarex ma6 b43.13,oxaliplatin,paclitaxel,topotecan							1.0																									
avastin,carboplatin,cisplatin,docetaxel,doxil,gemcitabine,paclitaxel,patupilone,topotecan,vinorelbine							1.0																									
carboplatin,doxorubicin,paclitaxel							1.0		4.0																							
a202171 protocol,carboplatin,paclitaxel							1.0																									
carboplatin,doxorubicin hcl							1.0																									
carboplatin,cisplatin,doxil,gemar,paclitaxel,topotecan							1.0																									
amitostin,carboplatin,doxil,etopside,gemcitabine,paclitaxel,topotecan,xeloda							1.0																									
carboplatin,cisplatin,doxil,mitomycin c,paclitaxel,tamoxifen,topotecan							1.0																									
carboplatin,cisplatin,docetaxel,paciltaxel							1.0																									
carboplatin,docetaxel,doxil,gemcitabine							1.0																									
carboplatin,docetaxel,pacitaxel							1.0																									
carbo,carboplatin,doxil,paclitaxel,tamoxifen							1.0																									
azd 2281,carboplatin,cisplatin,megace,paciltaxel,tamoxifen							1.0																									
carbplatin,cisplatin,docetaxel,paclitaxel							1.0																									
avastin,carboplatin,carbplatin,doxil,gemcitabine,paclitaxel,pemetrexed,sns 595,topotecan							1.0																									
carboplatin,paclitaxel,toptecan							1.0																									
cisplatin,ifostamide,paclitaxel,psc833,topotecan,vp16							1.0																									
carboplatin,cisplatin,cyclophosphamide,docetaxel,gemcitabine,herceptin,topotecan							1.0																									
carboplatin,cisplatin,cytoxan,docetaxel,paclitaxel,toptecan							1.0																									
avastin,carboplatin,docetaxel,doxil,gemcitibine,paclitaxel,topotecan							1.0																									
cisplatin,hexamethylmelamine,paclitaxel							1.0																									
carboplatin,docetaxel,doxil,paclitaxel							1.0																									
avastin,carboplatin,cisplatin,gamzar,paclitaxel							1.0																									
carboplatin,cisplatin,docetaxel,doxil,etoposide (vp16),gemcitabine,ifosfamide,paclitaxel,rhumab/ind,topotecan							1.0																									
carbo,doxil,paclitaxel							1.0																									
carboplatin,cisplatin,doxil,paclitaxel							1.0																									
[not available],carboplatin,cisplatin,docetaxel,doxil,gemcitabine,paclitaxel,topotecan							1.0																									
avastin,carboplatin,cisplatin,doxil,femara,gemcitabine,megestrol acetate,paclitaxel							1.0																									
ciplastin,docetaxel,paclitaxel							1.0																									
cisplatin,cytoxan,paclitaxel							1.0																									
carboplatin,cytoxan,paclitaxel							1.0																									
avastin,cisplatin,cytoxan,doxil,paclitaxel							1.0																									
avastin,carboplatin,gemcitabine,paclitaxel							1.0																									
carbo,cisplatin,paclitaxel,topotecan							1.0																									
90y-hu3s193,carboplatin,paclitaxel							1.0																									
